,Unnamed: 0_x,STATE,EVENT_ID,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,Unnamed: 0_y,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1823,119921,VIRGINIA,816762,2019,Thunderstorm Wind,1,0,1,0,,,1991,78.0,F,Permanent Home
1824,120106,WISCONSIN,824124,2019,Cold/Wind Chill,0,0,1,0,0.0,0.00K,1996,56.0,M,Vehicle/Towed Trailer
1825,120154,TENNESSEE,811049,2019,Debris Flow,0,0,1,0,8720000.0,0.00K,1981,62.0,M,Vehicle/Towed Trailer
1826,120166,WISCONSIN,812703,2019,Winter Weather,0,0,0,2,0.0,0.00K,1987,39.0,M,Vehicle/Towed Trailer
1827,120166,WISCONSIN,812703,2019,Winter Weather,0,0,0,2,0.0,0.00K,1988,24.0,F,Vehicle/Towed Trailer
1828,120284,WISCONSIN,811941,2019,Winter Weather,0,2,0,2,0.0,0.00K,1984,20.0,F,Vehicle/Towed Trailer
1829,120284,WISCONSIN,811941,2019,Winter Weather,0,2,0,2,0.0,0.00K,1985,58.0,F,Vehicle/Towed Trailer
1830,120289,WISCONSIN,811925,2019,Winter Storm,0,0,0,2,0.0,0.00K,1982,59.0,M,Permanent Home
1831,120289,WISCONSIN,811925,2019,Winter Storm,0,0,0,2,0.0,0.00K,1983,91.0,M,Permanent Home
1832,120387,WISCONSIN,812258,2019,Winter Storm,0,0,0,1,0.0,0.00K,1986,68.0,M,Outside/Open Areas
